nm,Asta80
601.2,778.604682142857
601.6,768.326065
602,746.484022142857
602.4,732.350932857143
602.8,706.654408571429
603.2,692.521319285714
603.6,678.388239285714
604,662.970322857143
604.4,635.988971428572
604.8,626.995190714286
605.2,618.001400714286
605.6,605.153138571429
606,591.020049285714
606.4,580.741441428571
606.8,553.76009
607.2,540.911827857143
607.6,528.063565714286
608,515.215303571429
608.4,511.360831428571
608.8,494.658087857143
609.2,472.816045
609.6,461.25261
610,458.682955714286
610.4,452.25882
610.8,454.828474285714
611.2,453.543647142857
611.6,435.556085714286
612,412.429206428572
612.4,397.011299285714
612.8,381.593382857143
613.2,370.029947857143
613.6,364.890639285714
614,361.036167142857
614.4,348.187905
614.8,344.333423571429
615.2,341.763769285714
615.6,330.200334285714
616,321.206553571429
616.4,305.788637142857
616.8,303.218982857143
617.2,295.510029285714
617.6,292.940375
618,294.225202142857
618.4,286.516239285714
618.8,274.952804285714
619.2,268.528677857143
619.6,267.243850714286
620,269.813505
620.4,241.547326428571
620.8,237.692845
621.2,228.699064285714
621.6,229.983891428571
622,213.281147857143
622.4,200.432885714286
622.8,213.281147857143
623.2,196.578413571429
623.6,179.87567
624,181.160497142857
624.4,176.021188571429
624.8,167.027407857143
625.2,165.742580714286
625.6,156.7488
626,145.185365
626.4,147.75501
626.8,142.615710714286
627.2,147.75501
627.6,146.470182857143
628,131.052275714286
628.4,120.773658571429
628.8,120.773658571429
629.2,118.204013571429
629.6,100.216442857143
630,97.6467885714286
630.4,98.9316157142857
630.8,97.6467885714286
631.2,89.937835
631.6,84.7985264285714
632,74.5199185714286
632.4,74.5199185714286
632.8,80.9440542857143
633.2,74.5199185714286
633.6,78.3744
634,70.6654371428572
634.4,56.5323571428571
634.8,51.3930485714286
635.2,59.1020021428571
635.6,64.2413107142857
636,70.6654371428572
636.4,59.1020021428571
636.8,48.8233942857143
637.2,41.1144407142857
637.6,25.6965242857143
638,30.8358328571429
638.4,32.1206507142857
638.8,32.1206507142857
639.2,29.5510057142857
639.6,16.7027435714286
640,16.7027435714286
640.4,16.7027435714286
640.8,17.9875707142857
641.2,16.7027435714286
641.6,15.4179164285714
642,19.2723885714286
642.4,7.70895357142857
642.8,-8.99378071428571
643.2,1.28482714285714
643.6,3.85448142857143
644,0
644.4,5.13930857142857
644.8,3.85448142857143
645.2,-5.13930857142857
645.6,-1.28482714285714
646,-5.13930857142857
646.4,0
646.8,-3.85448142857143
647.2,-6.42412642857143
647.6,-2.56965428571429
648,8.99378071428571
648.4,2.56965428571429
648.8,-8.99378071428571
649.2,0
649.6,-1.28482714285714
650,-11.563435
650.4,0
650.8,0
651.2,0
651.6,0
652,0
652.4,0
652.8,0
653.2,0
653.6,0
654,0
654.4,0
654.8,0
655.2,0
655.6,0
656,0
656.4,0
656.8,0
657.2,0
657.6,0
658,0
658.4,0
658.8,0
659.2,0
659.6,0
660,0
660.4,0
660.8,0
661.2,0
661.6,0
662,0
662.4,0
662.8,0
663.2,0
663.6,0
664,0
664.4,0
664.8,0
665.2,0
665.6,0
666,0
666.4,0
666.8,0
667.2,0
667.6,0
668,0
668.4,0
668.8,0
669.2,0
669.6,0
670,0
670.4,0
670.8,0
671.2,0
671.6,0
672,0
672.4,0
672.8,0
673.2,0
673.6,0
674,0
674.4,0
674.8,0
675.2,0
675.6,0
676,0
676.4,0
676.8,0
677.2,0
677.6,0
678,0
678.4,0
678.8,0
679.2,0
679.6,0
680,0
680.4,0
680.8,0
681.2,0
681.6,0
682,0
682.4,0
682.8,0
683.2,0
683.6,0
684,0
684.4,0
684.8,0
685.2,0
685.6,0
686,0
686.4,0
686.8,0
687.2,0
687.6,0
688,0
688.4,0
688.8,0
689.2,0
689.6,0
690,0
690.4,0
690.8,0
691.2,0
691.6,0
692,0
692.4,0
692.8,0
693.2,0
693.6,0
694,0
